"Freq [GHz]","dB(S(port1,port1)) [] - rot_carga='60deg'","dB(S(port1,port1)) [] - rot_carga='55deg'","dB(S(port1,port1)) [] - rot_carga='50deg'","dB(S(port1,port1)) [] - rot_carga='45deg'","dB(S(port1,port1)) [] - rot_carga='40deg'","dB(S(port1,port1)) [] - rot_carga='35deg'","dB(S(port1,port1)) [] - rot_carga='30deg'","dB(S(port1,port1)) [] - rot_carga='25deg'","dB(S(port1,port1)) [] - rot_carga='20deg'","dB(S(port1,port1)) [] - rot_carga='15deg'","dB(S(port1,port1)) [] - rot_carga='10deg'"
72,-3.66900512118827,-3.93131052753915,-4.28873079469606,-4.73149643553755,-5.34039953274128,-6.19097222440095,-7.40711048127765,-9.2324538105918,-12.2612678805527,-17.8614744615829,-24.7066780644051
72.5,-3.72634281299707,-3.99572739588117,-4.36279440652792,-4.8186198061953,-5.447143964073,-6.32981001629295,-7.59527352917519,-9.5106226338743,-12.7280751759836,-18.8333897425094,-25.6258178923216
73,-3.78220423804549,-4.05870827420092,-4.43548619471648,-4.90449213593714,-5.55292958265984,-6.46827853704959,-7.78441227993634,-9.793038147154,-13.2107226143632,-19.8834377124334,-26.4253991524972
73.5,-3.83668084707554,-4.12035899741855,-4.50698254389215,-4.98934108324815,-5.658077239911,-6.60655247262383,-7.97494785363103,-10.0801258636398,-13.7105121273682,-21.026777036559,-27.1042281684378
74,-3.88985543872962,-4.1807708819478,-4.5774108869176,-5.07332683299425,-5.76280350006998,-6.7447814754347,-8.16715876457641,-10.3722488111518,-14.2287052595604,-22.283595297398,-27.6637337174923
74.5,-3.94180371951712,-4.24002275096244,-4.64685769132528,-5.15655280109628,-5.86723549507958,-6.88309566399096,-8.36120964449465,-10.6697192316114,-14.7665686428858,-23.6817887469509,-28.1075251578949
75,-3.99259559583121,-4.29818320607383,-4.71537868638355,-5.23907986994241,-5.97143245487437,-7.02161089583523,-8.55718705028165,-10.9728123529695,-15.3254084694009,-25.2617260804921,-28.4417663644015
75.5,-4.04229617406065,-4.35531288019638,-4.78300940616382,-5.32094128258494,-6.07540912433923,-7.16043321388756,-8.75513490016266,-11.2817792851779,-15.9065871036558,-27.0853148937875,-28.6765205438036
76,-4.09096648933476,-4.41146650130577,-4.84977477137308,-5.4021562629568,-6.17915771907442,-7.29966220419605,-8.95508465377162,-11.5968570657347,-16.5115172308097,-29.2549906760289,-28.8283032603735
76.5,-4.138664008372,-4.46669466903944,-4.91569695891531,-5.48274120667683,-6.2826663184666,-7.43939323943709,-9.1570775730002,-11.9182747122891,-17.14162901156,-31.959348242185,-28.9239627287184
77,-4.18544296234026,-4.52104529976356,-4.98080121828554,-5.56271790146073,-6.3859326163131,-7.57971873383509,-9.3611781820131,-12.2462548038738,-17.7983033384579,-35.608368170702,-29.0052888783897
77.5,-4.23135456587167,-4.57456473427346,-5.04511959799808,-5.64211869691437,-6.48897274056456,-7.72072861822544,-9.56747936325528,-12.5810105977759,-18.4827590438796,-41.4123746481361,-29.1318195048832
